 36.290 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
 local_time in Africa/Dar_es_Salaam, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
" ""local_time"": ""Africa/Dar_es_Salaam"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""-5.595276516619589"""," ""lon"": ""36.290240018721526"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""60"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""10"""," ""azim"": ""180"""," ""raw"": true}}"
local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
9/14/2019 2:00,0,0,0,16.765,,,,,,,,,,,,,
9/14/2019 3:00,0,0,0,16.497,,,,,,,,,,,,,
9/14/2019 4:00,0,0,0,16.225,,,,,,,,,,,,,
9/14/2019 5:00,0,0,0,15.99,,,,,,,,,,,,,
9/14/2019 6:00,0.047,0.001,0.006,15.87,,,,,,,,,,,,,
9/14/2019 7:00,7.373,0.07,0.082,17.366,,,,,,,,,,,,,
9/14/2019 8:00,22.199,0.35,0.089,20.181,,,,,,,,,,,,,
9/14/2019 9:00,33.172,0.595,0.089,23.453,,,,,,,,,,,,,
9/14/2019 10:00,40.637,0.789,0.092,26.603,,,,,,,,,,,,,
9/14/2019 11:00,44.873,0.914,0.095,29.071,,,,,,,,,,,,,
9/14/2019 12:00,45.581,0.937,0.103,30.707,,,,,,,,,,,,,
9/14/2019 13:00,44.225,0.906,0.103,31.712,,,,,,,,,,,,,
9/14/2019 14:00,40.12,0.797,0.1,32.047,,,,,,,,,,,,,
9/14/2019 15:00,33.367,0.63,0.092,31.735,,,,,,,,,,,,,
9/14/2019 16:00,23.28,0.399,0.087,30.701,,,,,,,,,,,,,
9/14/2019 17:00,10.723,0.15,0.075,28.841,,,,,,,,,,,,,
9/14/2019 18:00,0.447,0.004,0.015,25.697,,,,,,,,,,,,,
9/14/2019 19:00,0,0,0,23.251,,,,,,,,,,,,,
9/14/2019 20:00,0,0,0,21.499,,,,,,,,,,,,,
9/14/2019 21:00,0,0,0,20.135,,,,,,,,,,,,,
9/14/2019 22:00,0,0,0,19.002,,,,,,,,,,,,,
